Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PetStoreSuite1,Chrome 128.0.0.0,,,20-09-2024 16:09:01,20-09-2024 16:09:26,24.848s,PASSED
,,,,,,,
Test Cases/LaunchPetStorePage,Chrome 128.0.0.0,,,20-09-2024 16:09:01,20-09-2024 16:09:07,5.969s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,20-09-2024 16:09:02,20-09-2024 16:09:06,3.839s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,20-09-2024 16:09:06,20-09-2024 16:09:06,0.983s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/a_Sign In""), 0)",Chrome 128.0.0.0,,,20-09-2024 16:09:06,20-09-2024 16:09:07,0.414s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,20-09-2024 16:09:07,20-09-2024 16:09:07,0.411s,PASSED
,,,,,,,
Test Cases/PetStoreRegistration,Chrome 128.0.0.0,,,20-09-2024 16:09:07,20-09-2024 16:09:20,12.785s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,20-09-2024 16:09:07,20-09-2024 16:09:09,1.262s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,20-09-2024 16:09:09,20-09-2024 16:09:10,0.922s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,20-09-2024 16:09:10,20-09-2024 16:09:10,0.556s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Register Now""))",Chrome 128.0.0.0,,,20-09-2024 16:09:10,20-09-2024 16:09:11,0.534s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_User ID_username""), ""petstoreuser"")",Chrome 128.0.0.0,,,20-09-2024 16:09:11,20-09-2024 16:09:11,0.687s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_New password_password""), ""petstoreuser"")",Chrome 128.0.0.0,,,20-09-2024 16:09:11,20-09-2024 16:09:12,0.651s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Repeat password_repeatedPassword""), ""petstoreuser"")",Chrome 128.0.0.0,,,20-09-2024 16:09:12,20-09-2024 16:09:13,0.611s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_First name_account.firstName""), ""petstoreuser"")",Chrome 128.0.0.0,,,20-09-2024 16:09:13,20-09-2024 16:09:13,0.628s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Last name_account.lastName""), ""petstoreuser"")",Chrome 128.0.0.0,,,20-09-2024 16:09:13,20-09-2024 16:09:14,0.646s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Email_account.email""), ""petstoreuser@gmail.com"")",Chrome 128.0.0.0,,,20-09-2024 16:09:14,20-09-2024 16:09:15,0.656s,PASSED
