Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PurchaseAllAnimalts,Chrome 128.0.0.0,,,22-09-2024 16:17:12,22-09-2024 16:18:08,55.741s,PASSED
,,,,,,,
Test Cases/PurchaseBirds,Chrome 128.0.0.0,,,22-09-2024 16:17:13,22-09-2024 16:17:22,9.423s,PASSED
BrowserFunctionKeyword.lauchBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:13,22-09-2024 16:17:15,2.678s,PASSED
PetStoreKeyword.login(),Chrome 128.0.0.0,,,22-09-2024 16:17:15,22-09-2024 16:17:18,2.469s,PASSED
"click(findTestObject(""Page_JPetStore Demo/BirdsLink""))",Chrome 128.0.0.0,,,22-09-2024 16:17:18,22-09-2024 16:17:18,0.474s,PASSED
"click(findTestObject(""Page_JPetStore Demo/AmazonParrotLink""))",Chrome 128.0.0.0,,,22-09-2024 16:17:18,22-09-2024 16:17:19,0.492s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ParrotAddtoCart""))",Chrome 128.0.0.0,,,22-09-2024 16:17:19,22-09-2024 16:17:19,0.481s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ProceedToCheckout""))",Chrome 128.0.0.0,,,22-09-2024 16:17:19,22-09-2024 16:17:20,0.470s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ContinueButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:20,22-09-2024 16:17:20,0.487s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ConfirmButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:20,22-09-2024 16:17:21,0.463s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/OrderSubmittedLabel""), 0)",Chrome 128.0.0.0,,,22-09-2024 16:17:21,22-09-2024 16:17:21,0.291s,PASSED
PetStoreKeyword.logout(),Chrome 128.0.0.0,,,22-09-2024 16:17:21,22-09-2024 16:17:22,0.641s,PASSED
BrowserFunctionKeyword.closeBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:22,22-09-2024 16:17:22,0.188s,PASSED
,,,,,,,
Test Cases/PurchaseCats,Chrome 128.0.0.0,,,22-09-2024 16:17:22,22-09-2024 16:17:30,8.110s,PASSED
BrowserFunctionKeyword.lauchBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:22,22-09-2024 16:17:24,1.833s,PASSED
PetStoreKeyword.login(),Chrome 128.0.0.0,,,22-09-2024 16:17:24,22-09-2024 16:17:26,2.248s,PASSED
"click(findTestObject(""Page_JPetStore Demo/CatsLink""))",Chrome 128.0.0.0,,,22-09-2024 16:17:26,22-09-2024 16:17:27,0.471s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ManxCat""))",Chrome 128.0.0.0,,,22-09-2024 16:17:27,22-09-2024 16:17:27,0.448s,PASSED
"click(findTestObject(""Page_JPetStore Demo/TaillessManxAddtoCart""))",Chrome 128.0.0.0,,,22-09-2024 16:17:27,22-09-2024 16:17:28,0.473s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ProceedToCheckout""))",Chrome 128.0.0.0,,,22-09-2024 16:17:28,22-09-2024 16:17:28,0.478s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ContinueButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:28,22-09-2024 16:17:29,0.511s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ConfirmButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:29,22-09-2024 16:17:29,0.492s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/OrderSubmittedLabel""), 0)",Chrome 128.0.0.0,,,22-09-2024 16:17:29,22-09-2024 16:17:29,0.261s,PASSED
PetStoreKeyword.logout(),Chrome 128.0.0.0,,,22-09-2024 16:17:29,22-09-2024 16:17:30,0.625s,PASSED
BrowserFunctionKeyword.closeBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:30,22-09-2024 16:17:30,0.104s,PASSED
,,,,,,,
Test Cases/PurchaseDogs,Chrome 128.0.0.0,,,22-09-2024 16:17:30,22-09-2024 16:17:38,7.935s,PASSED
BrowserFunctionKeyword.lauchBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:30,22-09-2024 16:17:32,1.689s,PASSED
PetStoreKeyword.login(),Chrome 128.0.0.0,,,22-09-2024 16:17:32,22-09-2024 16:17:34,2.271s,PASSED
"click(findTestObject(""Page_JPetStore Demo/DogsLink""))",Chrome 128.0.0.0,,,22-09-2024 16:17:34,22-09-2024 16:17:35,0.467s,PASSED
"click(findTestObject(""Page_JPetStore Demo/BulldogLink""))",Chrome 128.0.0.0,,,22-09-2024 16:17:35,22-09-2024 16:17:35,0.468s,PASSED
"click(findTestObject(""Page_JPetStore Demo/MaleBullDog""))",Chrome 128.0.0.0,,,22-09-2024 16:17:35,22-09-2024 16:17:36,0.481s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ProceedToCheckout""))",Chrome 128.0.0.0,,,22-09-2024 16:17:36,22-09-2024 16:17:36,0.476s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ContinueButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:36,22-09-2024 16:17:36,0.464s,PASSED
"click(findTestObject(""Page_JPetStore Demo/ConfirmButton""))",Chrome 128.0.0.0,,,22-09-2024 16:17:36,22-09-2024 16:17:37,0.473s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/OrderSubmittedLabel""), 0)",Chrome 128.0.0.0,,,22-09-2024 16:17:37,22-09-2024 16:17:37,0.268s,PASSED
PetStoreKeyword.logout(),Chrome 128.0.0.0,,,22-09-2024 16:17:37,22-09-2024 16:17:38,0.630s,PASSED
BrowserFunctionKeyword.closeBrowser(),Chrome 128.0.0.0,,,22-09-2024 16:17:38,22-09-2024 16:17:38,0.159s,PASSED
,,,,,,,
Test Cases/PurchaseFish,Chrome 128.0.0.0,,,22-09-2024 16:17:38,22-09-2024 16:17:46,8.344s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,22-09-2024 16:17:38,22-09-2024 16:17:39,0.771s,PASSED
