Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllTestCase,Firefox 130.0,,,24-09-2024 13:38:44,24-09-2024 13:41:03,2m - 18.982s,PASSED
,,,,,,,
Test Cases/LaunchPetStorePage,Firefox 130.0,,,24-09-2024 13:38:44,24-09-2024 13:38:56,11.935s,PASSED
"openBrowser("""")",Firefox 130.0,,,24-09-2024 13:38:44,24-09-2024 13:38:48,4.197s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Firefox 130.0,,,24-09-2024 13:38:48,24-09-2024 13:38:54,5.430s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/a_Sign In""), 0)",Firefox 130.0,,,24-09-2024 13:38:54,24-09-2024 13:38:54,0.253s,PASSED
closeBrowser(),Firefox 130.0,,,24-09-2024 13:38:54,24-09-2024 13:38:56,1.756s,PASSED
,,,,,,,
Test Cases/PetStoreRegistration,Firefox 130.0,,,24-09-2024 13:38:56,24-09-2024 13:39:06,10.347s,PASSED
"openBrowser("""")",Firefox 130.0,,,24-09-2024 13:38:56,24-09-2024 13:38:59,2.625s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Firefox 130.0,,,24-09-2024 13:38:59,24-09-2024 13:39:04,5.525s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Sign In""))",Firefox 130.0,,,24-09-2024 13:39:04,24-09-2024 13:39:04,0.317s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Register Now""))",Firefox 130.0,,,24-09-2024 13:39:04,24-09-2024 13:39:05,0.274s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_User ID_username""), ""petstoreuser"")",Firefox 130.0,,,24-09-2024 13:39:05,24-09-2024 13:39:05,0.100s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_New password_password""), ""petstoreuser"")",Firefox 130.0,,,24-09-2024 13:39:05,24-09-2024 13:39:05,0.086s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Repeat password_repeatedPassword""), ""petstoreuser"")",Firefox 130.0,,,24-09-2024 13:39:05,24-09-2024 13:39:05,0.062s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_First name_account.firstName""), ""petstoreuser"")",Firefox 130.0,,,24-09-2024 13:39:05,24-09-2024 13:39:05,0.063s,PASSED
